"COMMON","AVGEXP_YPD","AVGEXP_SD","DM_YPD","DM_YPD_CLASS","DM_SD","AvPromNucOcc","Num_RegTF_YeastractYT","MedPosDM_SD_TFYT","maxDM_TFYT","PosCorTF_YT","NumPosCor_withinTFs","NumNegCor_withinTFs","PercNegCor_withinTFs","PercPosCorWN_OVsites","N_TFSites400","N_TFSites500","N_TFSites600","N_TFSites700","N_TFSites800","N_TFSites900","N_TFSites1000","NumSites","NumOverlaps","RatOverlap.Numsites","NumCoopTF_Yang2010","NumCoopTF_Chen2012","PercCoopTF_Yang2010","Gb_H3K79me3_vsH3","Pugh2004_SAGA_Dominance","Pugh2004_TFIID_Dominance","ORF","location","chr"
"MDM10",0.378,0.378,-0.074,2,-0.074,0.78,26,NA,0.472,4,23,4,15.38,17.39,2,1,3,1,2,6,6,22,5,0.23,10,12,38.46,1.184,NA,NA,"YAL010C",-134184,1
"MDM12",0.354,0.354,-0.167,2,-0.167,0.76,17,NA,0.251,3,12,0,0,0,0,3,0,0,0,0,2,6,1,0.17,6,6,35.29,0.825,NA,NA,"YOL009C",-309324,15
"MDM20",0.7,0.7,-0.068,2,-0.068,0.71,35,0.597,0.597,4,35,5,14.29,0,1,1,0,0,2,2,1,10,0,0,6,15,17.14,1.568,0,1,"YOL076W",187024,15
"MDM30",0.565,0.565,-0.101,2,-0.101,0.75,11,NA,0.403,2,4,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,1.035,NA,NA,"YLR368W",857540,12
"MDM31",0.383,0.383,-0.029,2,-0.029,0.81,14,0.597,0.597,4,9,0,0,0,0,0,1,2,0,2,3,8,0,0,0,7,0,0.819,NA,NA,"YHR194W",488657,8
"MDM32",1.106,1.106,0.074,2,0.074,0.69,16,NA,0.268,4,9,0,0,0,1,0,0,0,1,1,0,3,0,0,2,5,12.5,1.535,NA,NA,"YOR147W",606607,15
"MDM34",0.845,0.845,-0.001,2,-0.001,0.68,13,NA,0.115,3,7,0,0,0,0,2,2,0,0,1,3,11,0,0,0,5,0,1.646,NA,NA,"YGL219C",-82878,7
"MDM35",3.892,3.892,-0.078,2,-0.078,0.81,37,NA,0.472,7,36,7,18.92,11.11,0,0,2,3,0,3,5,16,4,0.25,13,20,35.14,0.551,NA,NA,"YKL053C-A",-339182,11
"MDM36",0.235,0.235,0.105,2,0.105,0.69,18,NA,0.26,2,13,0,0,7.69,0,1,1,3,0,1,0,9,1,0.11,6,10,33.33,1.357,NA,NA,"YPR083W",704854,16
"MDM38",4.246,4.246,-0.115,2,-0.115,0.7,24,0.597,0.597,6,20,0,0,0,1,0,1,0,1,0,1,7,0,0,4,9,16.67,1.777,0,1,"YOL027C",-272003,15
"MDN1",5.116,5.116,-0.092,2,-0.092,0.72,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.679,0,1,"YLR106C",-349006,12
"MDR1",0.179,0.179,-0.431,2,-0.431,0.76,11,NA,0.115,2,4,0,0,0,0,0,1,0,1,1,1,6,0,0,0,4,0,1.312,NA,NA,"YGR100W",690245,7
"MDS3",0.399,0.399,-0.043,2,-0.043,0.77,18,0.597,0.597,4,16,0,0,12.5,2,0,0,1,3,3,2,14,3,0.21,2,4,11.11,1.372,0,1,"YGL197W",124698,7
"MDV1",0.56,0.56,-0.285,2,-0.285,0.6,11,NA,0.115,3,5,0,0,0,0,1,0,1,0,0,1,5,0,0,0,4,0,1.445,0,1,"YJL112W",205305,10
"MDY2",2.342,2.342,-0.024,2,-0.024,0.35,46,0.597,0.597,10,45,11,24.44,15.56,1,1,3,1,4,1,7,21,7,0.33,13,17,28.26,0.95,NA,NA,"YOL111C",-108258,15
"MEC1",0.383,0.383,-0.194,2,-0.194,0.76,18,NA,0.115,7,11,3,16.67,9.09,0,0,2,1,3,2,3,13,2,0.15,2,5,11.11,1.001,NA,NA,"YBR136W",505668,2
"MEC3",0.274,0.274,-0.209,2,-0.209,0.74,16,NA,0.027,6,12,0,0,8.33,0,0,1,2,0,0,1,6,1,0.17,2,6,12.5,1.039,NA,NA,"YLR288C",-713480,12
"MED1",0.938,0.938,-0.135,2,-0.135,0.69,17,NA,0.272,4,10,1,5.88,0,1,1,0,0,1,0,2,6,0,0,0,10,0,1.475,0,1,"YPR070W",685898,16
"MED11",0.94,0.94,-0.103,2,-0.103,0.73,33,NA,0.472,7,31,0,0,9.68,0,3,1,1,0,0,1,10,4,0.4,16,16,48.48,0.591,0,1,"YMR112C",-494100,13
"MED2",1.419,1.419,-0.113,2,-0.113,0.63,13,NA,0.132,5,11,0,0,0,2,1,0,2,2,2,1,10,0,0,2,2,15.38,1.536,0,1,"YDL005C",-441014,4
"MED4",1.15,1.15,-0.107,2,-0.107,0.72,17,NA,0.192,4,13,0,0,0,0,0,1,1,0,0,0,3,0,0,4,5,23.53,1.184,NA,NA,"YOR174W",658747,15
"MED6",0.933,0.933,-0.146,2,-0.146,0.72,18,NA,0.115,6,14,0,0,0,0,0,0,0,0,0,1,3,0,0,2,7,11.11,1.073,0,1,"YHR058C",-218997,8
"MED7",0.329,0.329,-0.124,2,-0.124,0.76,13,NA,0.115,1,6,0,0,16.67,0,1,0,0,0,3,1,5,1,0.2,0,5,0,0.989,NA,NA,"YOL135C",-69376,15
"MED8",0.519,0.519,-0.031,2,-0.031,0.73,16,0.597,0.597,3,12,0,0,25,0,4,0,0,4,1,5,15,6,0.4,3,3,18.75,0.98,0,1,"YBR193C",-609082,2
"MEF1",0.704,0.704,-0.086,2,-0.086,0.79,29,1.395,1.395,1,27,5,17.24,0,2,0,0,4,1,1,1,12,2,0.17,6,12,20.69,1.365,0,1,"YLR069C",-271630,12
"MEF2",0.362,0.362,0.139,2,0.139,0.7,34,NA,0.137,6,32,1,2.94,12.5,1,1,0,3,2,0,2,16,4,0.25,4,15,11.76,1.151,0,1,"YJL102W",231301,10
"MEH1",0.843,0.843,-0.082,2,-0.082,0.74,18,NA,0.224,0,15,1,5.56,6.67,0,0,0,0,2,1,1,7,1,0.14,4,10,22.22,1.812,NA,NA,"YKR007W",451434,11
"MEI4",0.354,0.354,-0.114,2,-0.114,0.82,20,NA,0.066,1,17,1,5,17.65,2,0,1,2,1,5,1,14,6,0.43,4,6,20,0.4,NA,NA,"YER044C-A",-238460,5
"MEP1",0.312,0.312,0.081,2,0.081,0.56,45,0.597,0.597,16,44,1,2.22,18.18,6,1,4,2,5,3,4,30,11,0.37,12,21,26.67,0.849,1,0,"YGR121C",-731449,7
"MEP2",0.356,0.356,0.528,1,0.528,0.79,28,NA,0.26,9,22,0,0,9.09,0,4,3,1,2,4,0,14,4,0.29,3,17,10.71,0.63,1,0,"YNL142W",357453,14
"MES1",4.347,4.347,-0.034,2,-0.034,0.57,23,0.597,0.597,5,20,0,0,5,1,0,1,1,0,2,0,10,1,0.1,6,8,26.09,1.829,0,1,"YGR264C",-1019598,7
"MET1",0.314,0.314,-0.047,2,-0.047,0.61,28,NA,0.268,4,26,0,0,11.54,1,1,1,0,4,1,1,11,5,0.45,7,10,25,1.048,NA,NA,"YKR069W",571612,11
"MET10",0.243,0.243,-0.054,2,-0.054,0.76,36,0.597,0.597,10,36,3,8.33,13.89,2,2,3,3,3,0,1,21,5,0.24,7,17,19.44,1.173,0,1,"YFR030W",213312,6
"MET12",1.304,1.304,-0.033,2,-0.033,0.7,27,0.597,0.597,2,27,0,0,3.7,1,1,0,0,0,0,2,8,1,0.12,9,14,33.33,1.257,NA,NA,"YPL023C",-504339,16
"MET13",0.649,0.649,0.009,2,0.009,0.46,26,NA,0.472,5,22,0,0,13.64,1,1,1,3,2,4,4,18,5,0.28,5,14,19.23,0.939,NA,NA,"YGL125W",272520,7
"MET14",0.232,0.232,0.314,2,0.314,0.6,73,1.151,1.705,8,71,17,23.61,5.63,4,4,0,1,3,0,3,23,4,0.17,27,34,36.99,0.77,NA,NA,"YKL001C",-438777,11
"MET16",0.749,0.749,0.193,2,0.193,0.71,34,NA,0.268,6,33,1,2.94,9.09,3,2,0,0,1,1,0,13,4,0.31,6,17,17.65,0.725,NA,NA,"YPR167C",-876847,16
"MET17",0.01,0.01,2.497,1,2.497,0.74,51,NA,0.472,0,50,13,25.49,14,6,1,0,1,2,1,3,25,9,0.36,19,27,37.25,0.674,NA,NA,"YLR303W",732542,12
"MET18",0.447,0.447,0.092,2,0.092,0.79,20,0.597,0.597,5,17,1,5.26,0,0,1,0,0,0,2,4,9,3,0.33,2,9,10,1.458,0,1,"YIL128W",113806,9
"MET2",0.392,0.392,0.188,2,0.188,0.62,45,NA,0.472,7,44,2,4.44,20.45,1,2,6,2,2,2,2,21,9,0.43,19,27,42.22,0.891,NA,NA,"YNL277W",117349,14
"MET22",2.092,2.092,-0.083,2,-0.083,0.77,26,0.597,0.597,6,25,1,3.85,0,1,0,1,0,2,1,0,9,0,0,8,12,30.77,1.065,0,1,"YOL064C",-206103,15
"MET28",0.262,0.262,0.115,2,0.115,0.63,28,NA,0.268,1,26,0,0,3.85,1,1,1,2,1,4,1,16,2,0.12,8,12,28.57,0.553,NA,NA,"YIR017C",-383556,9
"MET3",0.923,0.923,0.27,2,0.27,0.58,36,NA,0.472,5,36,1,2.78,30.56,5,1,1,4,2,2,7,24,12,0.5,7,23,19.44,0.624,0,1,"YJR010W",456239,10
"MET30",0.98,0.98,-0.075,2,-0.075,0.6,25,NA,0.192,9,23,0,0,30.43,1,2,1,4,4,2,1,15,7,0.47,6,15,24,1.099,NA,NA,"YIL046W",268651,9
"MET31",1.056,1.056,-0.062,2,-0.062,0.75,26,NA,0.472,8,26,0,0,0,1,1,0,1,0,2,1,7,0,0,7,12,26.92,0.715,0,1,"YPL038W",480535,16
"MET4",1.231,1.231,-0.169,2,-0.169,0.48,21,0.597,0.597,8,19,1,4.76,5.26,1,0,3,1,1,3,0,10,3,0.3,2,5,9.52,1.605,0,1,"YNL103W",427735,14
"MET6",2.914,2.914,0.74,1,0.74,0.48,54,NA,0.268,10,54,3,5.56,29.63,2,7,6,4,0,2,5,33,20,0.61,18,35,33.33,0.878,1,0,"YER091C",-339864,5
"MET7",1.449,1.449,-0.044,2,-0.044,0.81,13,NA,0.26,2,5,0,0,0,0,0,0,0,0,1,2,4,0,0,2,4,15.38,1.283,0,1,"YOR241W",786995,15
"MET8",0.522,0.522,-0.168,2,-0.168,0.72,22,NA,0.268,3,20,1,4.55,15,3,1,1,1,2,3,5,19,4,0.21,2,13,9.09,0.652,NA,NA,"YBR213W",650368,2
"MEU1",2.532,2.532,-0.069,2,-0.069,0.77,14,0.597,0.597,0,7,0,0,0,1,2,1,1,0,1,0,7,0,0,0,5,0,1.079,0,1,"YLR017W",177608,12
"MEX67",1.131,1.131,-0.078,2,-0.078,0.81,22,NA,0.272,2,21,4,18.18,0,0,0,0,0,1,0,1,3,0,0,0,7,0,1.508,NA,NA,"YPL169C",-229039,16
"MF(ALPHA)1",0.005,0.005,0.143,2,0.143,0.71,64,0.597,0.597,9,64,17,26.56,103.12,0,1,1,12,1,1,6,24,69,2.88,23,33,35.94,0.343,NA,NA,"YPL187W",193648,16
"MFA1",19.195,19.195,0.804,1,0.804,0.71,77,1.395,1.705,2,76,23,29.87,34.21,9,7,1,6,6,5,10,51,30,0.59,33,40,42.86,0.511,NA,NA,"YDR461W",1385176,4
"MFA2",38.156,38.156,0.517,1,0.517,0.48,40,1.395,1.395,1,36,1,2.5,11.11,1,4,1,2,2,5,1,21,4,0.19,10,20,25,0,NA,NA,"YNL145W",352414,14
"MFG1",0.345,0.345,-0.191,2,-0.191,0.76,15,NA,0.224,2,5,0,0,0,0,1,4,1,0,3,3,15,6,0.4,2,5,13.33,1.049,NA,NA,"YDL233W",36797,4
"MFT1",0.663,0.663,0.059,2,0.059,0.76,17,0.597,0.597,3,13,0,0,7.69,0,0,0,0,1,1,1,5,1,0.2,0,8,0,1.582,0,1,"YML062C",-147505,13
"MGA1",0.36,0.36,-0.013,2,-0.013,0.43,41,1.395,1.395,7,38,15,36.59,15.79,1,2,2,4,3,2,7,24,9,0.38,11,18,26.83,0.427,NA,NA,"YGR249W",988049,7
"MGA2",1.078,1.078,0.032,2,0.032,0.73,29,0.597,0.597,6,27,7,24.14,14.81,1,1,3,0,1,2,3,16,4,0.25,9,9,31.03,1.589,NA,NA,"YIR033W",416124,9
"MGE1",5.666,5.666,-0.109,2,-0.109,0.71,21,NA,0.224,4,17,0,0,0,0,2,0,1,4,0,1,10,0,0,3,12,14.29,1.934,0,1,"YOR232W",774573,15
"MGM1",0.456,0.456,-0.205,2,-0.205,0.52,16,0.597,0.597,5,9,0,0,0,0,0,1,0,2,1,1,6,0,0,2,6,12.5,1.445,NA,NA,"YOR211C",-738924,15
"MGM101",2.111,2.111,-0.032,2,-0.032,0.74,18,NA,0.115,3,15,0,0,6.67,1,2,0,2,0,1,3,10,1,0.1,4,4,22.22,1.202,NA,NA,"YJR144W",700882,10
"MGR1",1.992,1.992,-0.046,2,-0.046,0.73,25,0.597,0.597,4,23,0,0,8.7,0,2,1,4,0,0,5,17,3,0.18,2,14,8,1.247,NA,NA,"YCL044C",-47111,3
"MGR2",2.492,2.492,-0.051,2,-0.051,0.8,26,NA,0.403,11,23,8,30.77,0,0,2,1,1,1,0,0,7,0,0,2,7,7.69,0.842,NA,NA,"YPL098C",-364386,16
"MGS1",0.996,0.996,-0.155,2,-0.155,0.67,21,NA,0.115,3,19,2,9.52,5.26,2,0,2,3,1,0,2,11,2,0.18,0,10,0,0.761,NA,NA,"YNL218W",238238,14
"MGT1",0.5,0.5,0.063,2,0.063,0.76,14,NA,0.192,5,5,0,0,0,0,1,3,0,2,2,2,11,1,0.09,0,7,0,0.591,NA,NA,"YDL200C",-100501,4
"MHF1",0.638,0.638,-0.218,2,-0.218,0.76,6,NA,0.26,2,2,0,0,0,1,1,0,0,0,0,1,5,0,0,0,2,0,0.546,NA,NA,"YOL086W-A",159173,15
"MHF2",0.929,0.929,0.115,2,0.115,0.79,3,NA,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,1.017,NA,NA,"YDL160C-A",-169366,4
"MHO1",0.453,0.453,-0.072,2,-0.072,0.8,35,NA,0.268,8,31,2,5.71,6.45,2,1,4,0,1,3,1,15,5,0.33,13,24,37.14,0.854,NA,NA,"YJR008W",452430,10
"MHP1",0.312,0.312,-0.339,2,-0.339,0.62,23,0.597,0.597,8,21,0,0,0,1,0,1,2,2,1,2,12,1,0.08,3,10,13.04,1.155,0,1,"YJL042W",361249,10
"MHR1",1.689,1.689,0.066,2,0.066,0.75,21,NA,0.472,3,19,0,0,31.58,2,2,0,6,1,4,2,20,8,0.4,6,10,28.57,1.129,0,1,"YDR296W",1055212,4
"MHT1",0.311,0.311,0.178,2,0.178,0.78,31,NA,0.26,1,30,5,16.13,0,0,2,2,1,1,2,1,11,0,0,4,14,12.9,0.605,NA,NA,"YLL062C",-16639,12
"MIA40",3.945,3.945,-0.06,2,-0.06,0.81,27,1.395,1.395,4,27,1,3.7,7.41,3,0,0,2,0,1,4,14,2,0.14,8,16,29.63,1.816,NA,NA,"YKL195W",75821,11
"MIC19",1.215,1.215,0.028,2,0.028,0.7,34,0.597,0.597,8,33,3,8.82,15.15,1,1,3,1,1,2,1,18,5,0.28,13,20,38.24,1.36,NA,NA,"YFR011C",-166746,6
"MIC26",1.516,1.516,-0.025,2,-0.025,0.72,27,NA,0.26,6,24,2,7.41,4.17,1,0,1,2,2,0,3,13,1,0.08,10,8,37.04,1,NA,NA,"YGR235C",-961360,7
"MIC27",1.392,1.392,-0.016,2,-0.016,0.76,37,0.597,0.597,8,36,2,5.41,0,1,1,0,1,2,2,0,8,0,0,17,12,45.95,1.135,NA,NA,"YNL100W",437613,14
"MID1",0.991,0.991,0.063,2,0.063,0.79,19,NA,0.115,5,18,1,5.26,0,1,0,2,1,0,1,1,7,0,0,2,6,10.53,1.22,NA,NA,"YNL291C",-84169,14
"MID2",1.297,1.297,0.016,2,0.016,0.49,41,0.597,0.597,6,39,8,20,5.13,0,2,1,5,1,3,3,15,2,0.13,11,17,26.83,1.445,0,1,"YLR332W",790676,12
"MIF2",0.487,0.487,-0.038,2,-0.038,0.77,25,NA,0.26,9,21,0,0,0,0,0,1,0,0,0,0,2,0,0,3,8,12,1.155,0,1,"YKL089W",273394,11
"MIG1",0.555,0.555,-0.113,2,-0.113,0.52,29,0.597,0.597,11,23,5,17.24,4.35,2,0,1,2,2,1,6,18,5,0.28,4,9,13.79,1.211,0,1,"YGL035C",-431548,7
"MIG2",1.398,1.398,0.25,2,0.25,0.55,29,1.395,1.395,8,25,3,10.34,8,3,2,2,1,3,3,2,18,2,0.11,10,15,34.48,1.458,1,0,"YGL209W",95858,7
"MIH1",0.381,0.381,-0.199,2,-0.199,0.71,21,NA,0.137,9,18,5,23.81,0,1,0,1,0,2,0,0,7,0,0,3,11,14.29,1.423,NA,NA,"YMR036C",-341856,13
"MIM1",2.22,2.22,0.015,2,0.015,0.77,21,NA,0.472,6,17,4,19.05,0,0,0,2,1,0,1,0,7,0,0,5,10,23.81,0.598,NA,NA,"YOL026C",-274012,15
"MIM2",1.881,1.881,0.076,2,0.076,0.74,4,NA,0.009,0,2,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0.727,NA,NA,"YLR099W-A",341325,12
"MIP1",0.644,0.644,-0.002,2,-0.002,0.69,21,0.597,0.597,11,19,1,4.76,0,1,0,2,0,0,0,0,5,0,0,3,4,14.29,1.437,NA,NA,"YOR330C",-939621,15
"MIP6",0.086,0.086,0.551,1,0.551,0.71,24,NA,0.268,3,20,1,4.17,0,1,3,1,2,3,3,2,19,1,0.05,5,13,20.83,0.55,NA,NA,"YHR015W",134554,8
"MIR1",7.107,7.107,-0.044,2,-0.044,0.66,34,NA,0.472,13,31,3,9.09,19.35,1,0,3,4,3,4,2,22,6,0.27,9,16,26.47,1.559,0,1,"YJR077C",-577255,10
"MIS1",1.796,1.796,-0.045,2,-0.045,0.68,16,0.597,0.597,1,10,0,0,0,1,1,1,3,1,2,6,15,1,0.07,2,5,12.5,1.384,0,1,"YBR084W",411054,2
"MIT1",1.056,1.056,-0.054,2,-0.054,0.34,23,0.996,1.395,5,22,0,0,22.73,5,1,1,0,1,1,3,15,6,0.4,3,11,13.04,1.475,NA,NA,"YEL007W",141892,5
"MIX23",2.029,2.029,-0.07,2,-0.07,0.78,30,NA,0.472,5,30,2,6.67,26.67,0,3,2,3,4,5,7,25,10,0.4,8,15,26.67,1.014,NA,NA,"YBL107C",-9961,2
"MKC7",1.343,1.343,-0.064,2,-0.064,0.68,17,NA,0.243,2,8,0,0,0,1,0,2,2,1,0,1,9,1,0.11,0,7,0,1.306,NA,NA,"YDR144C",-744311,4
"MKK1",0.738,0.738,-0.093,2,-0.093,0.73,29,0.597,0.597,5,29,6,20.69,0,0,1,1,0,2,0,1,8,1,0.12,11,8,37.93,1.242,NA,NA,"YOR231W",772601,15
"MKS1",0.713,0.713,0.073,2,0.073,0.73,34,0.597,0.597,18,33,0,0,3.03,0,1,1,1,2,2,1,12,1,0.08,6,14,17.65,1.482,0,1,"YNL076W",483556,14
"MKT1",1.094,1.094,0.059,2,0.059,0.69,25,0.597,0.597,4,23,4,16,17.39,0,0,2,0,1,0,4,8,4,0.5,8,13,32,1.658,0,1,"YNL085W",467131,14
"MLC1",5.852,5.852,-0.163,2,-0.163,0.8,28,0.597,0.597,6,25,0,0,4,1,1,0,2,1,2,4,13,1,0.08,5,13,17.86,1.257,NA,NA,"YGL106W",306560,7
"MLC2",1.305,1.305,-0.05,2,-0.05,0.79,11,0.597,0.597,1,5,0,0,60,0,0,0,0,1,3,0,4,3,0.75,2,0,18.18,1.324,NA,NA,"YPR188C",-911988,16
"MLF3",1.877,1.877,-0.105,2,-0.105,0.75,34,0.597,0.597,3,32,3,8.82,9.38,2,0,4,0,0,0,3,12,4,0.33,12,19,35.29,1.509,0,1,"YNL074C",-486766,14
"MLH1",0.17,0.17,-0.291,2,-0.291,0.76,12,NA,0.137,3,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,7,0,1.603,NA,NA,"YMR167W",594886,13
"MLH2",0.14,0.14,-0.525,3,-0.525,0.78,20,NA,0.26,6,15,1,5,0,0,2,1,2,1,0,0,7,1,0.14,2,11,10,0.758,NA,NA,"YLR035C",-212369,12
"MLP1",1.055,1.055,-0.076,2,-0.076,0.65,17,0.597,0.597,4,14,0,0,7.14,1,0,0,2,0,3,1,9,2,0.22,2,6,11.76,2.015,0,1,"YKR095W",619805,11
"MLS1",0.03,0.03,-0.253,2,-0.253,0.61,38,1.395,1.395,6,34,0,0,2.94,0,2,2,1,2,1,0,11,1,0.09,7,10,18.42,0.538,NA,NA,"YNL117W",406358,14
"MMM1",0.45,0.45,-0.068,2,-0.068,0.8,23,0.597,0.597,10,21,1,4.35,4.76,2,0,1,0,0,0,3,9,1,0.11,0,13,0,1.516,NA,NA,"YLL006W",136586,12
"MMP1",0.605,0.605,0.193,2,0.193,0.74,50,1.395,1.395,4,49,0,0,6.12,2,2,2,1,0,2,0,19,3,0.16,19,28,38,0.748,0,1,"YLL061W",17956,12
"MMR1",5.67,5.67,0.125,2,0.125,0.7,29,1.395,1.395,9,27,1,3.45,3.7,1,4,1,0,0,0,1,13,1,0.08,8,11,27.59,1.637,NA,NA,"YLR190W",535214,12
"MMS1",1.347,1.347,-0.018,2,-0.018,0.65,15,NA,0.138,2,10,0,0,0,1,1,3,0,0,0,0,5,1,0.2,0,6,0,1.144,NA,NA,"YPR164W",870703,16
"MMS2",0.864,0.864,-0.128,2,-0.128,0.74,26,NA,0.472,6,25,4,15.38,12,4,0,4,0,0,2,2,15,3,0.2,9,13,34.62,0.622,0,1,"YGL087C",-346406,7
"MMS21",0.073,0.073,-0.077,2,-0.077,0.77,21,NA,0.052,2,18,0,0,11.11,0,3,0,3,1,3,0,12,3,0.25,5,13,23.81,0.836,0,1,"YEL019C",-120498,5
"MMS22",0.259,0.259,-0.257,2,-0.257,0.7,19,0.597,0.597,9,15,1,5.26,0,0,1,1,0,0,2,0,7,1,0.14,2,8,10.53,1.27,NA,NA,"YLR320W",771940,12
"MMS4",0.113,0.113,-0.677,3,-0.677,0.71,23,0.597,0.597,6,17,0,0,5.88,1,0,0,0,5,3,5,16,2,0.12,5,12,21.74,1.15,NA,NA,"YBR098W",441515,2
"MMT1",1.74,1.74,-0.043,2,-0.043,0.67,22,NA,0.26,1,19,0,0,0,0,0,1,0,4,0,0,8,0,0,5,10,22.73,1.181,0,1,"YMR177W",616566,13
"MND2",0.271,0.271,0.131,2,0.131,0.7,21,0.597,0.597,3,15,0,0,0,2,0,2,0,2,0,1,9,0,0,3,11,14.29,1.488,NA,NA,"YIR025W",403659,9
"MNE1",0.167,0.167,0.77,1,0.77,0.81,19,NA,0.26,6,18,0,0,0,1,0,0,1,1,1,2,6,0,0,0,8,0,1.158,0,1,"YOR350C",-992864,15
"MNL1",0.549,0.549,0.063,2,0.063,0.44,22,0.597,0.597,6,18,1,4.55,5.56,1,2,3,0,0,1,0,10,1,0.1,4,8,18.18,1.114,NA,NA,"YHR204W",506319,8
"MNL2",0.492,0.492,0.323,2,0.323,0.75,20,1.395,1.395,5,13,2,10,7.69,1,4,1,0,1,1,1,10,1,0.1,0,7,0,1.349,NA,NA,"YLR057W",255306,12
"MNN1",1.054,1.054,0.164,2,0.164,0.48,44,1.395,1.395,5,44,8,18.18,22.73,0,4,2,4,4,4,4,27,12,0.44,12,20,27.27,1.125,0,0,"YER001W",153520,5
"MNN10",3.566,3.566,-0.099,2,-0.099,0.78,16,NA,0.192,7,12,0,0,0,0,0,1,0,2,2,2,11,0,0,2,7,12.5,1.61,0,1,"YDR245W",952800,4
"MNN11",2.204,2.204,0.041,2,0.041,0.77,20,0.597,0.597,4,17,2,10,5.88,0,0,4,0,3,0,2,10,3,0.3,4,6,20,1.366,0,1,"YJL183W",84068,10
"MNN2",3.406,3.406,-0.065,2,-0.065,0.69,19,0.597,0.597,5,17,0,0,11.76,0,1,1,2,2,4,4,16,5,0.31,6,4,31.58,1.242,0,1,"YBR015C",-267710,2
"MNN4",0.527,0.527,-0.274,2,-0.274,0.49,26,NA,0.26,10,22,5,19.23,4.55,2,1,0,3,1,0,2,13,2,0.15,4,12,15.38,1.275,NA,NA,"YKL201C",-63930,11
"MNN5",1.921,1.921,-0.055,2,-0.055,0.66,21,NA,0.26,1,20,1,4.76,10,0,1,5,2,1,2,0,13,2,0.15,0,8,0,1.23,0,0,"YJL186W",80155,10
"MNN9",2.628,2.628,-0.071,2,-0.071,0.81,21,0.597,0.597,6,19,0,0,0,1,0,0,0,1,0,2,6,0,0,6,5,28.57,1.737,0,1,"YPL050C",-460779,16
"MNP1",2.806,2.806,-0.114,2,-0.114,0.75,21,NA,0.192,5,18,0,0,5.56,0,2,1,0,1,2,0,12,1,0.08,0,9,0,1.221,NA,NA,"YGL068W",375087,7
"MNR2",0.854,0.854,0.035,2,0.035,0.66,18,0.597,0.597,3,14,0,0,0,0,0,1,1,2,0,2,8,1,0.12,2,3,11.11,1.259,0,1,"YKL064W",317764,11
"MNS1",0.389,0.389,0.032,2,0.032,0.72,28,0.597,0.597,7,27,0,0,7.41,2,2,0,1,2,2,2,13,2,0.15,10,15,35.71,0.835,0,1,"YJR131W",667644,10
"MNT2",0.831,0.831,-0.101,2,-0.101,0.72,12,NA,0.027,3,4,0,0,0,0,1,2,2,2,1,3,11,1,0.09,0,6,0,1.285,NA,NA,"YGL257C",-12481,7
"MNT3",1.049,1.049,-0.022,2,-0.022,0.67,13,0.597,0.597,0,6,0,0,0,1,0,0,1,0,2,2,7,0,0,2,2,15.38,1.173,NA,NA,"YIL014W",326103,9
"MNT4",0.295,0.295,-0.281,2,-0.281,0.76,24,0.597,0.597,6,19,5,20.83,0,1,1,1,1,0,0,0,5,0,0,4,11,16.67,1.113,NA,NA,"YNR059W",736803,14
"MOB1",1.938,1.938,0.005,2,0.005,0.62,17,0.996,1.395,3,10,1,6.25,10,0,1,0,1,1,0,2,8,1,0.12,5,9,29.41,0,0,1,"YIL106W",166415,9
"MOB2",0.907,0.907,-0.1,2,-0.1,0.76,18,NA,0.406,6,10,0,0,0,0,1,0,2,1,0,3,9,0,0,4,5,22.22,1.296,NA,NA,"YFL034C-B",-63016,6
"MOD5",1.436,1.436,0.041,2,0.041,0.48,24,NA,0.26,0,21,0,0,0,0,0,1,1,0,1,2,7,0,0,4,7,16.67,1.028,0,1,"YOR274W",837674,15
"MOG1",1.828,1.828,0.004,2,0.004,0.76,18,NA,0.192,2,13,1,5.56,7.69,1,0,2,1,0,2,1,9,2,0.22,0,7,0,0.508,NA,NA,"YJR074W",573095,10
"MON1",0.31,0.31,-0.089,2,-0.089,0.58,15,NA,0.472,2,7,0,0,0,0,0,0,0,3,1,1,5,0,0,0,6,0,0.762,NA,NA,"YGL124C",-274780,7
"MON2",0.444,0.444,0.001,2,0.001,0.76,13,0.597,0.597,1,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,15.38,1.501,0,1,"YNL297C",-71673,14
"MOT1",0.454,0.454,0.032,2,0.032,0.53,26,NA,0.192,3,22,2,7.69,45.45,2,0,2,7,1,0,0,14,15,1.07,6,13,23.08,1.439,0,1,"YPL082C",-398480,16
"MOT2",1.278,1.278,-0.113,2,-0.113,0.67,14,NA,0.115,5,8,0,0,12.5,1,1,1,0,1,1,4,11,1,0.09,0,6,0,1.403,0,1,"YER068W",293050,5
"MOT3",0.604,0.604,0.006,2,0.006,0.42,39,NA,0.251,16,39,8,20.51,23.08,4,2,3,4,3,4,1,25,10,0.4,13,17,33.33,1.121,0,1,"YMR070W",409154,13
